Batch,Gen,NPC,Fit_Best,Fit_Mean,Complexity_Mean
9,0,Mushroom,29.146047353744507,11.028824737370014,5.28
9,0,HumanSword,31.859097838401794,16.093824666440486,5.54
9,1,Mushroom,29.030677556991577,9.439543101787567,5.29
9,1,HumanSword,31.857778549194336,16.909543023109435,5.71
10,0,Mushroom,29.353809356689453,11.244193575680256,5.29
10,0,HumanSword,28.99825370311737,17.789193482100963,5.71
10,1,Mushroom,29.142638444900513,10.32787884235382,5.44
10,1,HumanSword,29.0005886554718,17.507878777980803,6.04
10,2,Mushroom,29.173333406448364,10.671165711581708,5.41
10,2,HumanSword,29.004444301128387,17.976165638267993,6.3
10,3,Mushroom,27.911110877990723,10.71708790510893,5.27
10,3,HumanSword,29.00595736503601,18.152087815105915,6.25
10,4,Mushroom,29.315555572509766,11.188565897643565,5.19
10,4,HumanSword,29.004444301128387,16.443565812408924,6.81
