Batch,Gen,NPC,Fit_Best,Fit_Mean,Complexity_Mean
0,0,HumanSword,5.499999970197678,4.727250589728356,1.77
0,0,Mushroom,29.29898190498352,9.922250600457192,1.74
0,1,HumanSword,28.99999988079071,5.32036364197731,1.12
0,1,Mushroom,29.262222290039062,8.510363651514053,1.2
0,2,HumanSword,29.003308415412903,6.280746895074844,1.42
0,2,Mushroom,29.358673572540283,13.550746911764145,1.7
1,0,Mushroom,29.280587196350098,13.716089584231376,1.7
1,0,HumanSword,29.007667243480682,6.411089565157891,1.42
1,1,Mushroom,29.382222175598145,11.516772454977035,1.8
1,1,HumanSword,31.582947731018066,8.241772431135178,1.57
2,0,HumanSword,29.00730949640274,7.539849476516247,1.57
2,0,Mushroom,29.326892852783203,11.624849499762059,1.8
2,1,HumanSword,28.98375368118286,8.50141809463501,1.79
2,1,Mushroom,29.372095108032227,11.786418097019196,1.9
2,2,HumanSword,32.000376641750336,9.629442798495292,1.92
2,2,Mushroom,29.325756072998047,9.309442835450172,2.11
2,3,HumanSword,29.014227151870728,11.585414285361766,2.07
2,3,Mushroom,29.257131814956665,11.020414326488972,2.31
3,0,Mushroom,29.358322858810425,12.468857168853283,2.31
3,0,HumanSword,31.264413237571716,9.31635718613863,2.07
3,1,Mushroom,29.29235601425171,10.213085301220417,2.58
3,1,HumanSword,31.260331869125366,11.733085243403911,2.21
3,2,Mushroom,29.34666657447815,12.325848198831082,2.69
3,2,HumanSword,29.006041049957275,9.24084816366434,2.35
3,3,Mushroom,29.35111117362976,13.04899122864008,2.77
3,3,HumanSword,30.894390434026718,9.498991225659847,2.62
4,0,Mushroom,29.3025324344635,12.862825620472432,2.77
4,0,HumanSword,29.00015926361084,10.992825565040112,2.62
5,0,Mushroom,29.28179121017456,13.843290026783944,2.77
5,0,HumanSword,29.003729581832886,10.32328999221325,2.62
6,0,Mushroom,29.2622230052948,14.52570445716381,2.77
6,0,HumanSword,28.997308135032654,9.805704410672188,2.62
6,1,Mushroom,29.1995792388916,11.364733239710331,2.89
6,1,HumanSword,29.004932582378387,10.859733199775219,2.94
6,2,Mushroom,29.314061880111694,10.977527936697006,2.77
6,2,HumanSword,28.99999988079071,10.872527893781662,3.2
7,0,Mushroom,29.306375741958618,12.475442472696304,2.77
7,0,HumanSword,28.999708890914917,10.725442425012588,3.2
8,0,HumanSword,31.85506546497345,11.496867530345916,3.2
8,0,Mushroom,29.281732082366943,11.00186758518219,2.77
8,1,HumanSword,29.001000225543976,11.271745164990426,3.17
8,1,Mushroom,29.266666650772095,10.576745219826698,3.05
8,2,HumanSword,29.001314103603363,10.766235909163951,3.74
8,2,Mushroom,29.33418869972229,9.061235958635807,3.38
8,3,HumanSword,28.99999988079071,12.557172556221484,3.82
8,3,Mushroom,29.200000047683716,9.05217261761427,3
8,4,HumanSword,28.93179428577423,12.027910535335542,3.5
8,4,Mushroom,29.313599348068237,8.702910571098327,3.51
8,5,HumanSword,29.00071829557419,14.835946960151196,3.59
8,5,Mushroom,29.342246294021606,9.550947032272816,3.25
9,0,Mushroom,29.27942395210266,11.19802474975586,3.25
9,0,HumanSword,29.000815629959106,14.538024699687957,3.59
9,1,Mushroom,29.284754037857056,9.300678219795227,3.81
9,1,HumanSword,32.00163573026657,12.000678154230117,4.15
9,2,Mushroom,29.308780431747437,10.682041165530682,3.63
9,2,HumanSword,29.002959609031677,13.087041104137898,3.91
9,3,Mushroom,29.324654579162598,9.186138645112514,3.64
9,3,HumanSword,29.0002099275589,12.036138576567174,4.02
9,4,Mushroom,29.306307792663574,11.713018699884415,4.15
9,4,HumanSword,29.001722037792206,11.2630186522007,3.81
9,5,Mushroom,29.330623388290405,11.626578030884266,4.12
9,5,HumanSword,29.00241047143936,11.286577988564968,4.07
10,0,HumanSword,29.00192004442215,11.094719597697258,4.07
10,0,Mushroom,29.255253553390503,11.719719651341439,4.12
10,1,HumanSword,32.00156605243683,11.474401532113552,3.59
10,1,Mushroom,29.273826122283936,11.669401587545872,4.02
10,2,HumanSword,28.99999988079071,13.19779441446066,3.76
10,2,Mushroom,29.306666612625122,11.187794486582279,3.85
10,3,HumanSword,29.00560361146927,14.678848729431628,4.18
10,3,Mushroom,29.085659980773926,10.273848814666271,4.27
10,4,HumanSword,29.004444301128387,15.314276054501534,4.09
10,4,Mushroom,29.311111211776733,11.094276157021522,3.84
11,0,Mushroom,29.334103107452393,11.361495235264302,3.84
11,0,HumanSword,32.000524282455444,15.556495141685009,4.09
11,1,Mushroom,29.24000072479248,10.387031556367875,4.15
11,1,HumanSword,31.857778549194336,14.137031490802764,4.07
11,2,Mushroom,29.008888959884644,10.151026276051999,4.34
11,2,HumanSword,29.005088925361633,11.256026202738285,4.38
12,0,Mushroom,29.356189012527466,9.23316452562809,4.34
12,0,HumanSword,29.00208669900894,12.66316445529461,4.38
13,0,Mushroom,29.204411029815674,10.12965764284134,4.34
13,0,HumanSword,28.999966502189636,11.274657588005066,4.38
13,1,Mushroom,29.208747148513794,12.648287737965584,3.99
13,1,HumanSword,29.00217515230179,12.623287672400474,4.4
14,0,HumanSword,29.00148493051529,14.266107511222362,4.4
14,0,Mushroom,29.35948896408081,11.626107588112355,3.99
14,1,HumanSword,29.001750648021698,13.51234605073929,4.2
14,1,Mushroom,29.293452262878418,11.372346112728119,4.28
14,2,HumanSword,29.001022279262543,14.653631507456303,4.24
14,2,Mushroom,29.293030261993408,11.923631574809551,4.6
14,3,HumanSword,28.975974321365356,13.72351229339838,4.28
14,3,Mushroom,29.233319997787476,11.44851237386465,4.46
14,4,HumanSword,29.003804564476013,17.266201024353503,4.61
14,4,Mushroom,29.217000246047974,9.62620111912489,4.61
14,5,HumanSword,29.00159853696823,15.776894579529761,4.68
14,5,Mushroom,29.33429455757141,10.151894662976265,4.52
14,6,HumanSword,29.002051413059235,16.264075028002264,4.25
14,6,Mushroom,29.322612524032593,11.039075102508068,4.52
14,7,HumanSword,29.004444301128387,17.509366251528263,4.36
14,7,Mushroom,28.926138401031494,8.949366353452206,4.63
14,8,HumanSword,29.00500476360321,18.568859087228773,4.34
14,8,Mushroom,29.359999895095825,9.723859189748763,4.53
14,9,HumanSword,29.0039284825325,16.963682416677475,4.52
14,9,Mushroom,29.328593492507935,10.618682519197463,4.63
15,0,HumanSword,28.99826943874359,16.937910864055155,4.52
15,0,Mushroom,29.27826952934265,10.54791094094515,4.63
15,1,HumanSword,29.00000113248825,17.68225242763758,4.75
15,1,Mushroom,29.226667881011963,11.052252512872219,4.68
15,2,HumanSword,29.00566655397415,18.07878513455391,4.77
15,2,Mushroom,29.31677770614624,10.33378521323204,4.61
15,3,HumanSword,29.00081169605255,17.287987667620182,5.23
15,3,Mushroom,29.2985897064209,10.527987769544124,4.54
15,4,HumanSword,29.00492972135544,16.707383937835694,5.16
15,4,Mushroom,29.25166416168213,10.792384035587311,4.59
15,5,HumanSword,29.008378386497498,18.126114885210992,5.49
15,5,Mushroom,29.17358136177063,9.491114972233772,4.8
15,6,HumanSword,29.004957497119904,17.324371425211428,5.81
15,6,Mushroom,29.31436061859131,10.58437152594328,4.67
15,7,HumanSword,29.004444301128387,19.727477543652057,5.25
15,7,Mushroom,29.315555572509766,10.077477647960187,4.41
15,8,HumanSword,29.001628041267395,20.234203293919563,5.34
15,8,Mushroom,29.031588315963745,10.22920341193676,4.69
15,9,HumanSword,29.012828588485718,20.034673829376697,4.92
15,9,Mushroom,29.386209964752197,11.79467394798994,4.62
15,10,HumanSword,29.001387238502502,19.212486234903334,5.2
15,10,Mushroom,29.05904459953308,10.712486342191696,4.83
15,11,HumanSword,29.006108582019806,19.909906447827815,4.92
15,11,Mushroom,29.08740735054016,10.404906550943851,4.6
15,12,HumanSword,29.001589477062225,20.62457601964474,5.17
15,12,Mushroom,28.000478506088257,10.719576137661933,4.48
15,13,HumanSword,28.982096314430237,19.652568026185037,5.17
15,13,Mushroom,28.083017826080322,10.397568132281304,4.52
15,14,HumanSword,29.004444301128387,19.34680290609598,5.25
15,14,Mushroom,29.3235125541687,11.426802999675274,4.44
15,15,HumanSword,28.97555184364319,19.705129697024823,5.9
15,15,Mushroom,29.267221212387085,10.790129797756672,4.46
15,16,HumanSword,30.826449364423752,20.123360193669797,6.04
15,16,Mushroom,29.252004861831665,10.248360303938389,4.49
15,17,HumanSword,29.001234114170074,19.14940988868475,5.85
15,17,Mushroom,27.995678663253784,11.649409975111485,4.58
15,18,HumanSword,29.007122814655304,19.345181617438794,5.95
15,18,Mushroom,26.997333526611328,10.490181714594364,4.55
15,19,HumanSword,29.003342926502228,20.989182054400445,6.15
15,19,Mushroom,26.989710330963135,10.429182177186012,4.56
15,20,HumanSword,29.00393694639206,20.060711286067963,6.29
15,20,Mushroom,29.287477254867554,9.405711374282838,4.52
15,21,HumanSword,29.004444301128387,20.46486486494541,6.59
